root_888,superclass,cell_type,malecns_cell_type,side,dimorphism,n_planes,neck_area_um2,neck_diameter_um,relative_caliber
720575941551055495,sensory_ascending,SApp22,auto:SApp09,right,isomorphic,3,0.2346518553781885,0.5465967631746332,1.540754304712447
720575941551093639,descending_neuron,DNg12_c,auto:DNge177,left,isomorphic,3,0.06247346183561802,0.2820348951913785,0.5983758101107793
720575941551104372,ascending_neuron,AN_multi_124,,right,isomorphic,12,0.1092132653559397,0.3617146717103866,0.9679927232035668
720575941551115775,sensory_ascending,SAch01,auto:LgAG1,,dimorphic,3,0.04846666974426869,0.2484143323562917,0.7002336598322316
720575941551193115,descending_neuron,DNg10,DNg10,right,isomorphic,3,0.04945169319631229,0.2509259877566603,0.5323739854951429
720575941551408538,ascending_neuron,AN08B107,auto:AN08B110,left,dimorphic,3,0.04374952803571303,0.2360161629180711,0.6316081324067566
720575941551414170,descending_neuron,DNg07,auto:DNge091,right,isomorphic,3,0.2040962678874584,0.5097680248967891,1.081542958218713
720575941551486463,ascending_neuron,AN05B078,AN05B078,left,isomorphic,3,0.05880534424603037,0.2736298407261354,0.7322669368698552
720575941551513716,ascending_neuron,AN19B009,AN19B009,left,isomorphic,3,0.05310722290479756,0.2600350290123491,0.6958855571761825
720575941551514174,ascending_neuron,AN08B098,AN08B098,left,isomorphic,3,0.0781878000354301,0.3155183020380196,0.8443655850788594
720575941551514686,ascending_neuron,AN08B102,auto:AN08B099_e,right,isomorphic,3,0.05164453048295299,0.2564290515526201,0.6862355202436234
720575941551589181,descending_neuron,DNp11,auto:DNp11,left,isomorphic,3,4.784062874177936,2.468047413625336,5.236301945962249
720575941551640711,ascending_neuron,ANXXX049,ANXXX049,right,isomorphic,3,0.2088011029743459,0.5156101446744972,1.379835840483879
720575941551774526,descending_neuron,DNpe023,DNpe023,left,isomorphic,3,0.02719346255411484,0.1860746943627044,0.3947830494692721
720575941551911935,sensory_ascending,SApp08,auto:SApp06,right,isomorphic,3,0.04974265916375172,0.2516631095484032,0.7093913566592767
720575941551948543,descending_neuron,DNp63,DNp63,left,isomorphic,3,0.2169150207896265,0.5255328556012482,1.114990214231622
720575941551991295,descending_neuron,DNg16,DNg16,left,isomorphic,3,1.696373042306835,1.469656163899488,3.118077630290831
720575941552002815,descending_neuron,DNg57,DNg57,right,isomorphic,12,0.1107973632513709,0.375014093750867,0.7956439645486623
720575941552009727,descending_neuron,DNg49,DNg49,left,isomorphic,3,0.4992482056862994,0.7972844900773316,1.691548672780568
720575941552013055,ascending_neuron,AN09B009,AN09B009,right,isomorphic,3,0.2407736208935972,0.5536808606506102,1.481717735010772
720575941552017663,descending_neuron,DNge064,DNge064,left,isomorphic,3,0.3278828768419068,0.6461218498368901,1.370836346559442
720575941552024575,ascending_neuron,AN07B005,AN07B005,right,isomorphic,3,0.1646807319218967,0.4579061259023395,1.225412825219036
720575941552163583,descending_neuron,DNpe022,DNpe022,left,isomorphic,3,0.3621361398042227,0.6790331757554102,1.440662249822055
720575941552165255,sensory_ascending,SAabg01,SAxx01,left,isomorphic,3,0.2393050882137713,0.5519897658200831,1.555956173075227
720575941552168959,ascending_neuron,AN10B048,AN10B048,right,isomorphic,3,0.03165001602040909,0.2007437470724463,0.5372148314468426
720575941552203930,ascending_neuron,AN07B089,AN07B089,right,isomorphic,3,0.0254082807142871,0.1798633586063657,0.4813363568545462
